flows,products,is_subtotal
06 Stock changes,07.10 Refinery gas (not liquefied),False
06 Stock changes,07.11 Ethane,False
06 Stock changes,07.12 White spirit SBP,False
06 Stock changes,07.13 Lubricants,False
06 Stock changes,07.14 Bitumen,False
06 Stock changes,07.15 Paraffin  waxes,False
06 Stock changes,07.16 Petroleum coke,False
06 Stock changes,07.17 Other products,False
06 Stock changes,07.99 PetProd nonspecified,False
06 Stock changes,08 Gas,True
06 Stock changes,08.01 Natural gas,False
06 Stock changes,08.02 LNG,False
06 Stock changes,08.03 Gas works gas,False
06 Stock changes,08.99 Gas nonspecified,False
06 Stock changes,09 Nuclear,False
06 Stock changes,10 Hydro,False
06 Stock changes,11 Geothermal,False
06 Stock changes,12 Solar,True
06 Stock changes,12.01 of which: Photovoltaics,False
06 Stock changes,12.99 Solar nonspecified,False
06 Stock changes,"13 Tide, wave, ocean",False
06 Stock changes,14 Wind,False
06 Stock changes,15 Solid biomass,True
06 Stock changes,15.01 Fuelwood & woodwaste,False
06 Stock changes,15.02 Bagasse,False
06 Stock changes,15.03 Charcoal,False
06 Stock changes,15.04 Black liqour,False
06 Stock changes,15.05 Other biomass,False
06 Stock changes,16 Others,True
06 Stock changes,16.01 Biogas,False
06 Stock changes,16.02 Industrial waste,False
06 Stock changes,16.03 Municipal solid waste (renewable),False
06 Stock changes,16.04 Municipal solid waste (non-renewable),False
06 Stock changes,16.05 Biogasoline,False
06 Stock changes,16.06 Biodiesel,False
06 Stock changes,16.07 Bio jet kerosene,False
06 Stock changes,16.08 Other liquid biofuels,False
06 Stock changes,16.09 Other sources,False
06 Stock changes,17 Electricity,False
06 Stock changes,18 Heat,False
06 Stock changes,19 Total,True
06 Stock changes,20 Total Renewables,True
06 Stock changes,21 Modern renewables,True
07 Total primary energy supply,01 Coal,True
07 Total primary energy supply,01.01 Coking coal,False
07 Total primary energy supply,01.02 Other bituminous coal,False
07 Total primary energy supply,01.03 Sub-bituminous coal,False
07 Total primary energy supply,01.04 Anthracite,False
07 Total primary energy supply,01.05 Lignite,False
07 Total primary energy supply,01.99 Coal nonspecified,False
07 Total primary energy supply,02 Coal products,True
07 Total primary energy supply,02.01 Coke oven coke,False
07 Total primary energy supply,02.02 Gas coke,False
07 Total primary energy supply,02.03 Coke oven gas,False
07 Total primary energy supply,02.04 Blast furnace gas,False
07 Total primary energy supply,02.05 Other recovered gases,False
07 Total primary energy supply,02.06 Patent fuel,False
07 Total primary energy supply,02.07 Coal tar,False
07 Total primary energy supply,02.08 BKB/PB,False
07 Total primary energy supply,03 Peat,False
07 Total primary energy supply,04 Peat products,False
07 Total primary energy supply,05 Oil shale and oil sands,False
07 Total primary energy supply,06 Crude oil & NGL,True
07 Total primary energy supply,06.01 Crude oil,False
07 Total primary energy supply,06.02 Natural gas liquids,False
07 Total primary energy supply,06.03 Refinery feedstocks,False
07 Total primary energy supply,06.04 Additives/ oxygenates,False
07 Total primary energy supply,06.05 Other hydrocarbons,False
07 Total primary energy supply,07 Petroleum products,True
07 Total primary energy supply,07.01 Motor gasoline,False
07 Total primary energy supply,07.02 Aviation gasoline,False
07 Total primary energy supply,07.03 Naphtha,False
07 Total primary energy supply,07.04 Gasoline type jet fuel,False
07 Total primary energy supply,07.05 Kerosene type jet fuel,False
07 Total primary energy supply,07.06 Kerosene,False
07 Total primary energy supply,07.07 Gas/diesel oil,False
07 Total primary energy supply,07.08 Fuel oil,False
07 Total primary energy supply,07.09 LPG,False
07 Total primary energy supply,07.10 Refinery gas (not liquefied),False
07 Total primary energy supply,07.11 Ethane,False
07 Total primary energy supply,07.12 White spirit SBP,False
07 Total primary energy supply,07.13 Lubricants,False
07 Total primary energy supply,07.14 Bitumen,False
07 Total primary energy supply,07.15 Paraffin  waxes,False
07 Total primary energy supply,07.16 Petroleum coke,False
07 Total primary energy supply,07.17 Other products,False
07 Total primary energy supply,07.99 PetProd nonspecified,False
07 Total primary energy supply,08 Gas,True
07 Total primary energy supply,08.01 Natural gas,False
07 Total primary energy supply,08.02 LNG,False
07 Total primary energy supply,08.03 Gas works gas,False
07 Total primary energy supply,08.99 Gas nonspecified,False
07 Total primary energy supply,09 Nuclear,False
07 Total primary energy supply,10 Hydro,False
07 Total primary energy supply,11 Geothermal,False
07 Total primary energy supply,12 Solar,True
07 Total primary energy supply,12.01 of which: Photovoltaics,False
07 Total primary energy supply,12.99 Solar nonspecified,False
07 Total primary energy supply,"13 Tide, wave, ocean",False
07 Total primary energy supply,14 Wind,False
07 Total primary energy supply,15 Solid biomass,True
07 Total primary energy supply,15.01 Fuelwood & woodwaste,False
07 Total primary energy supply,15.02 Bagasse,False
07 Total primary energy supply,15.03 Charcoal,False
07 Total primary energy supply,15.04 Black liqour,False
07 Total primary energy supply,15.05 Other biomass,False
07 Total primary energy supply,16 Others,True
07 Total primary energy supply,16.01 Biogas,False
07 Total primary energy supply,16.02 Industrial waste,False
07 Total primary energy supply,16.03 Municipal solid waste (renewable),False
07 Total primary energy supply,16.04 Municipal solid waste (non-renewable),False
07 Total primary energy supply,16.05 Biogasoline,False
07 Total primary energy supply,16.06 Biodiesel,False
07 Total primary energy supply,16.07 Bio jet kerosene,False
07 Total primary energy supply,16.08 Other liquid biofuels,False
07 Total primary energy supply,16.09 Other sources,False
07 Total primary energy supply,17 Electricity,False
07 Total primary energy supply,18 Heat,False
07 Total primary energy supply,19 Total,True
07 Total primary energy supply,20 Total Renewables,True
07 Total primary energy supply,21 Modern renewables,True
08 Transfers,01 Coal,True
08 Transfers,01.01 Coking coal,True
08 Transfers,01.02 Other bituminous coal,True
08 Transfers,01.03 Sub-bituminous coal,True
08 Transfers,01.04 Anthracite,True
08 Transfers,01.05 Lignite,True
08 Transfers,01.99 Coal nonspecified,True
08 Transfers,02 Coal products,True
08 Transfers,02.01 Coke oven coke,True
08 Transfers,02.02 Gas coke,True
08 Transfers,02.03 Coke oven gas,True
08 Transfers,02.04 Blast furnace gas,True
08 Transfers,02.05 Other recovered gases,True
08 Transfers,02.06 Patent fuel,True
08 Transfers,02.07 Coal tar,True
08 Transfers,02.08 BKB/PB,True
08 Transfers,03 Peat,True
08 Transfers,04 Peat products,True
08 Transfers,05 Oil shale and oil sands,True
08 Transfers,06 Crude oil & NGL,True
08 Transfers,06.01 Crude oil,True
08 Transfers,06.02 Natural gas liquids,True
08 Transfers,06.03 Refinery feedstocks,True
08 Transfers,06.04 Additives/ oxygenates,True
08 Transfers,06.05 Other hydrocarbons,True
08 Transfers,07 Petroleum products,True
08 Transfers,07.01 Motor gasoline,True
08 Transfers,07.02 Aviation gasoline,True
08 Transfers,07.03 Naphtha,True
08 Transfers,07.04 Gasoline type jet fuel,True
08 Transfers,07.05 Kerosene type jet fuel,True
08 Transfers,07.06 Kerosene,True
08 Transfers,07.07 Gas/diesel oil,True
08 Transfers,07.08 Fuel oil,True
08 Transfers,07.09 LPG,True
08 Transfers,07.10 Refinery gas (not liquefied),True
08 Transfers,07.11 Ethane,True
08 Transfers,07.12 White spirit SBP,True
08 Transfers,07.13 Lubricants,True
08 Transfers,07.14 Bitumen,True
08 Transfers,07.15 Paraffin  waxes,True
08 Transfers,07.16 Petroleum coke,True
08 Transfers,07.17 Other products,True
08 Transfers,07.99 PetProd nonspecified,True
08 Transfers,08 Gas,True
08 Transfers,08.01 Natural gas,True
08 Transfers,08.02 LNG,True
08 Transfers,08.03 Gas works gas,True
08 Transfers,08.99 Gas nonspecified,True
08 Transfers,09 Nuclear,True
08 Transfers,10 Hydro,True
08 Transfers,11 Geothermal,True
08 Transfers,12 Solar,True
08 Transfers,12.01 of which: Photovoltaics,True
08 Transfers,12.99 Solar nonspecified,True
08 Transfers,"13 Tide, wave, ocean",True
08 Transfers,14 Wind,True
08 Transfers,15 Solid biomass,True
08 Transfers,15.01 Fuelwood & woodwaste,True
08 Transfers,15.02 Bagasse,True
08 Transfers,15.03 Charcoal,True
08 Transfers,15.04 Black liqour,True
08 Transfers,15.05 Other biomass,True
08 Transfers,16 Others,True
08 Transfers,16.01 Biogas,True
08 Transfers,16.02 Industrial waste,True
08 Transfers,16.03 Municipal solid waste (renewable),True
08 Transfers,16.04 Municipal solid waste (non-renewable),True
08 Transfers,16.05 Biogasoline,True
08 Transfers,16.06 Biodiesel,True
08 Transfers,16.07 Bio jet kerosene,True
08 Transfers,16.08 Other liquid biofuels,True
08 Transfers,16.09 Other sources,True
08 Transfers,17 Electricity,True
08 Transfers,18 Heat,True
08 Transfers,19 Total,True
08 Transfers,20 Total Renewables,True
08 Transfers,21 Modern renewables,True
08.01 Recycled products,01 Coal,True
08.01 Recycled products,01.01 Coking coal,False
08.01 Recycled products,01.02 Other bituminous coal,False
08.01 Recycled products,01.03 Sub-bituminous coal,False
08.01 Recycled products,01.04 Anthracite,False
08.01 Recycled products,01.05 Lignite,False
08.01 Recycled products,01.99 Coal nonspecified,False
08.01 Recycled products,02 Coal products,True
08.01 Recycled products,02.01 Coke oven coke,False
08.01 Recycled products,02.02 Gas coke,False
08.01 Recycled products,02.03 Coke oven gas,False
08.01 Recycled products,02.04 Blast furnace gas,False
08.01 Recycled products,02.05 Other recovered gases,False
08.01 Recycled products,02.06 Patent fuel,False
08.01 Recycled products,02.07 Coal tar,False
08.01 Recycled products,02.08 BKB/PB,False
08.01 Recycled products,03 Peat,False
08.01 Recycled products,04 Peat products,False
08.01 Recycled products,05 Oil shale and oil sands,False
08.01 Recycled products,06 Crude oil & NGL,True
08.01 Recycled products,06.01 Crude oil,False
08.01 Recycled products,06.02 Natural gas liquids,False
08.01 Recycled products,06.03 Refinery feedstocks,False
08.01 Recycled products,06.04 Additives/ oxygenates,False
08.01 Recycled products,06.05 Other hydrocarbons,False
08.01 Recycled products,07 Petroleum products,True
08.01 Recycled products,07.01 Motor gasoline,False
08.01 Recycled products,07.02 Aviation gasoline,False
08.01 Recycled products,07.03 Naphtha,False
08.01 Recycled products,07.04 Gasoline type jet fuel,False
08.01 Recycled products,07.05 Kerosene type jet fuel,False
08.01 Recycled products,07.06 Kerosene,False
08.01 Recycled products,07.07 Gas/diesel oil,False
08.01 Recycled products,07.08 Fuel oil,False
08.01 Recycled products,07.09 LPG,False
08.01 Recycled products,07.10 Refinery gas (not liquefied),False
08.01 Recycled products,07.11 Ethane,False
08.01 Recycled products,07.12 White spirit SBP,False
