sheet_name,sector_code_9th,sector_name,final_category_name,notes,active,esto_flow_override,category_type,measure,dashboard_note_override,dashboard_page,dashboard_level
Agriculture,16_02_agriculture_and_fishing,Agriculture and fishing,Agriculture and fishing,,TRUE,,fuel,Final Energy Demand (Petajoules),,Other sector,
Residential appliances,16_01_02_residential,Residential,Residential appliances,,TRUE,,fuel,Final Energy Demand (Petajoules),,Buildings,
Residential lighting,16_01_02_residential,Residential,Residential lighting,,TRUE,,fuel,Final Energy Demand (Petajoules),,Buildings,
Residential water heating,16_01_02_residential,Residential,Residential water heating,,TRUE,,fuel,Final Energy Demand (Petajoules),,Buildings,
Residential cooking,16_01_02_residential,Residential,Residential cooking,,TRUE,,fuel,Final Energy Demand (Petajoules),,Buildings,
Residential heating,16_01_02_residential,Residential,Residential heating,,TRUE,,fuel,Final Energy Demand (Petajoules),,Buildings,
Residential cooling,16_01_02_residential,Residential,Residential cooling,,TRUE,,fuel,Final Energy Demand (Petajoules),,Buildings,
Services appliances,16_01_01_commercial_and_public_services,Commercial and public services,Services appliances,,TRUE,,fuel,Final Energy Demand (Petajoules),,Buildings,
Services cooking,16_01_01_commercial_and_public_services,Commercial and public services,Services cooking,,TRUE,,fuel,Final Energy Demand (Petajoules),,Buildings,
Services water heating,16_01_01_commercial_and_public_services,Commercial and public services,Services water heating,,TRUE,,fuel,Final Energy Demand (Petajoules),,Buildings,
Services lighting,16_01_01_commercial_and_public_services,Commercial and public services,Services lighting,,TRUE,,fuel,Final Energy Demand (Petajoules),,Buildings,
Services space cooling,16_01_01_commercial_and_public_services,Commercial and public services,Services space cooling,,TRUE,,fuel,Final Energy Demand (Petajoules),,Buildings,
Services space heating,16_01_01_commercial_and_public_services,Commercial and public services,Services space heating,,TRUE,,fuel,Final Energy Demand (Petajoules),,Buildings,
heat_out_feed,"09_02_chp_plants, 09_x_heat_plants",Heat plants and CHP,Heat plants and CHP,Transformation heat output by feedstock,TRUE,,fuel,Outputs by Feedstock Fuel (Petajoules),,Power,
heat_out_fuel,"09_02_chp_plants, 09_x_heat_plants",Heat plants and CHP,Heat plants and CHP,Transformation heat output by product,TRUE,,fuel,Outputs by Output Fuel (Petajoules),,Power,
heat_loss_own_use_total,"09_02_chp_plants, 09_x_heat_plants",Heat plants and CHP,Heat plants and CHP,Derived heat transformation losses & own use total from inputs minus product outputs,TRUE,,fuel,Losses (PJ),,Losses & own use,
trans_dist_out_fuel,10_02_transmission_and_distribution_losses,Transmission and distribution losses,Transmission and distribution losses,Transmission and distribution outputs,FALSE,,fuel,Outputs by Output Fuel (Petajoules),,Losses & own use,
trans_dist_out_feed,10_02_transmission_and_distribution_losses,Transmission and distribution losses,Transmission and distribution losses,Transmission and distribution outputs by feedstock,FALSE,,fuel,Outputs by Feedstock Fuel (Petajoules),,Losses & own use,
